Time   Sensor_status 
1491295304.364590 1152.000000 
1491295304.424729 1152.000000 
1491295304.496622 1152.000000 
1491295304.538662 1152.000000 
1491295304.580909 1152.000000 
1491295304.622601 1152.000000 
1491295304.664742 1152.000000 
1491295304.712682 1152.000000 
1491295304.754671 1152.000000 
1491295304.796627 1152.000000 
1491295304.850572 1152.000000 
1491295304.892812 1152.000000 
1491295304.940630 1152.000000 
1491295304.982565 1152.000000 
1491295305.024586 1152.000000 
1491295305.066679 1152.000000 
1491295305.108570 1152.000000 
1491295305.156682 1152.000000 
1491295305.198635 1152.000000 
1491295305.240616 1152.000000 
1491295305.294569 1152.000000 
1491295305.354561 1152.000000 
1491295305.426626 1152.000000 
1491295305.480574 1152.000000 
1491295305.522570 1152.000000 
1491295305.564586 1152.000000 
1491295305.612531 1152.000000 
1491295305.654593 1152.000000 
1491295305.696523 1152.000000 
1491295305.738523 1152.000000 
1491295305.792523 1152.000000 
1491295305.834530 1152.000000 
1491295305.876520 1152.000000 
1491295305.918534 1152.000000 
1491295305.960477 1152.000000 
1491295306.002510 1152.000000 
1491295306.050513 1152.000000 
1491295306.092511 1152.000000 
1491295306.134473 1152.000000 
1491295306.176709 1152.000000 
1491295306.230609 1152.000000 
1491295306.296561 1152.000000 
1491295306.362614 1152.000000 
1491295306.404675 1152.000000 
1491295306.446848 1152.000000 
1491295306.488627 1152.000000 
1491295306.536619 1152.000000 
1491295306.578764 1152.000000 
1491295306.620717 1152.000000 
1491295306.662983 1152.000000 
1491295306.722725 1152.000000 
1491295306.764819 1152.000000 
1491295306.806709 1152.000000 
1491295306.848716 1152.000000 
1491295306.890662 1152.000000 
1491295306.932708 1152.000000 
1491295306.980739 1152.000000 
1491295307.022791 1152.000000 
1491295307.064739 1152.000000 
1491295307.106695 1152.000000 
1491295307.160845 1152.000000 
1491295307.226778 1152.000000 
1491295307.292723 1152.000000 
1491295307.334776 1152.000000 
1491295307.376693 1152.000000 
1491295307.424706 1152.000000 
1491295307.466802 1152.000000 
1491295307.508735 1152.000000 
1491295307.550800 1152.000000 
1491295307.592779 1152.000000 
1491295307.652707 1152.000000 
1491295307.694718 1152.000000 
1491295307.736741 1152.000000 
1491295307.790713 1152.000000 
1491295307.832856 1152.000000 
1491295307.880640 1152.000000 
1491295307.922782 1152.000000 
1491295307.964783 1152.000000 
1491295308.006697 1152.000000 
1491295308.048800 1152.000000 
1491295308.108901 1152.000000 
1491295308.168725 1152.000000 
1491295308.234671 1152.000000 
1491295308.276664 1152.000000 
1491295308.324700 1152.000000 
1491295308.366993 1152.000000 
1491295308.408666 1152.000000 
1491295308.450936 1152.000000 
1491295308.492816 1152.000000 
1491295308.540788 1152.000000 
1491295308.594611 1152.000000 
1491295308.636858 1152.000000 
1491295308.678736 1152.000000 
1491295308.720770 1152.000000 
1491295308.762688 1152.000000 
1491295308.804790 1152.000000 
1491295308.846743 1152.000000 
1491295308.888698 1152.000000 
1491295308.930829 1152.000000 
1491295308.978770 1152.000000 
1491295309.032828 1152.000000 
1491295309.092726 1152.000000 
1491295309.158783 1152.000000 
1491295309.206721 1152.000000 
1491295309.248853 1152.000000 
1491295309.290726 1152.000000 
1491295309.332869 1152.000000 
1491295309.374856 1152.000000 
1491295309.416912 1152.000000 
1491295309.458696 1152.000000 
1491295309.512758 1152.000000 
1491295309.554715 1152.000000 
1491295309.596771 1152.000000 
1491295309.644671 1152.000000 
1491295309.686717 1152.000000 
1491295309.728693 1152.000000 
1491295309.770704 1152.000000 
1491295309.812825 1152.000000 
1491295309.860831 1152.000000 
1491295309.902798 1152.000000 
1491295309.956724 1152.000000 
1491295310.016660 1152.000000 
1491295310.082804 1152.000000 
1491295310.142840 1152.000000 
1491295310.184688 1152.000000 
1491295310.226857 1152.000000 
1491295310.268779 1152.000000 
1491295310.316693 1152.000000 
1491295310.358675 1152.000000 
1491295310.400838 1152.000000 
1491295310.454718 1152.000000 
1491295310.496620 1152.000000 
1491295310.544674 1152.000000 
1491295310.586683 1152.000000 
1491295310.628715 1152.000000 
1491295310.670644 1152.000000 
1491295310.712747 1152.000000 
1491295310.760680 1152.000000 
1491295310.802802 1152.000000 
1491295310.844707 1152.000000 
1491295310.898776 1152.000000 
1491295310.958790 1152.000000 
1491295311.030720 1152.000000 
1491295311.072664 1152.000000 
1491295311.114796 1152.000000 
1491295311.156647 1152.000000 
1491295311.198648 1152.000000 
1491295311.246634 1152.000000 
1491295311.288682 1152.000000 
1491295311.330620 1152.000000 
1491295311.384702 1152.000000 
1491295311.426868 1152.000000 
1491295311.474719 1152.000000 
1491295311.516846 1152.000000 
1491295311.558826 1152.000000 
1491295311.600807 1152.000000 
1491295311.642716 1152.000000 
1491295311.690696 1152.000000 
1491295311.732667 1152.000000 
1491295311.774665 1152.000000 
1491295311.828712 1152.000000 
1491295311.894635 1152.000000 
1491295311.960866 1152.000000 
1491295312.002739 1152.000000 
1491295312.044780 1152.000000 
1491295312.086696 1152.000000 
1491295312.134917 1152.000000 
1491295312.176610 1152.000000 
1491295312.218693 1152.000000 
1491295312.260696 1152.000000 
1491295312.314802 1152.000000 
1491295312.362724 1152.000000 
1491295312.404748 1152.000000 
1491295312.458724 1152.000000 
1491295312.500731 1152.000000 
1491295312.542782 1152.000000 
1491295312.590708 1152.000000 
1491295312.632765 1152.000000 
1491295312.674665 1152.000000 
1491295312.716684 1152.000000 
1491295312.770850 1152.000000 
1491295312.836810 1152.000000 
1491295312.902667 1152.000000 
1491295312.944815 1152.000000 
1491295312.986690 1152.000000 
1491295313.034693 1152.000000 
1491295313.076653 1152.000000 
1491295313.118762 1152.000000 
1491295313.161028 1152.000000 
1491295313.202695 1152.000000 
1491295313.262685 1152.000000 
1491295313.304640 1152.000000 
1491295313.346799 1152.000000 
1491295313.388653 1152.000000 
1491295313.430672 1152.000000 
1491295313.478672 1152.000000 
1491295313.520587 1152.000000 
1491295313.562612 1152.000000 
1491295313.604632 1152.000000 
1491295313.646678 1152.000000 
1491295313.706757 1152.000000 
1491295313.766652 1152.000000 
1491295313.832786 1152.000000 
1491295313.874666 1152.000000 
1491295313.916696 1152.000000 
1491295313.958675 1152.000000 
1491295314.000643 1152.000000 
1491295314.042696 1152.000000 
1491295314.084624 1152.000000 
1491295314.126624 1152.000000 
1491295314.186532 1152.000000 
1491295314.228647 1152.000000 
1491295314.270676 1152.000000 
1491295314.312665 1152.000000 
1491295314.360496 1152.000000 
1491295314.402618 1152.000000 
1491295314.444762 1152.000000 
1491295314.486710 1152.000000 
1491295314.528668 1152.000000 
1491295314.570560 1152.000000 
1491295314.630619 1152.000000 
1491295314.690679 1152.000000 
1491295314.756647 1152.000000 
1491295314.816699 1152.000000 
1491295314.858699 1152.000000 
1491295314.900683 1152.000000 
1491295314.942643 1152.000000 
1491295314.984720 1152.000000 
1491295315.026696 1152.000000 
1491295315.074615 1152.000000 
1491295315.128542 1152.000000 
1491295315.170756 1152.000000 
1491295315.212570 1152.000000 
1491295315.260592 1152.000000 
1491295315.302721 1152.000000 
1491295315.344604 1152.000000 
1491295315.386682 1152.000000 
1491295315.428736 1152.000000 
1491295315.470652 1152.000000 
1491295315.518589 1152.000000 
1491295315.572704 1152.000000 
1491295315.632685 1152.000000 
1491295315.698854 1152.000000 
1491295315.746761 1152.000000 
1491295315.788603 1152.000000 
1491295315.830637 1152.000000 
1491295315.872672 1152.000000 
1491295315.914689 1152.000000 
1491295315.962709 1152.000000 
1491295316.004721 1152.000000 
1491295316.058621 1152.000000 
1491295316.100694 1152.000000 
1491295316.142587 1152.000000 
1491295316.190680 1152.000000 
1491295316.232589 1152.000000 
1491295316.274623 1152.000000 
1491295316.316712 1152.000000 
1491295316.358688 1152.000000 
1491295316.406717 1152.000000 
1491295316.448767 1152.000000 
1491295316.502579 1152.000000 
1491295316.563597 1152.000000 
1491295316.634603 1152.000000 
1491295316.676591 1152.000000 
1491295316.718641 1152.000000 
1491295316.760636 1152.000000 
1491295316.802703 1152.000000 
1491295316.850707 1152.000000 
1491295316.892697 1152.000000 
1491295316.934653 1152.000000 
1491295316.988613 1152.000000 
1491295317.030688 1152.000000 
1491295317.078660 1152.000000 
1491295317.132633 1152.000000 
1491295317.174807 1152.000000 
1491295317.216677 1152.000000 
1491295317.258604 1152.000000 
1491295317.306665 1152.000000 
1491295317.348625 1152.000000 
1491295317.390652 1152.000000 
1491295317.444646 1152.000000 
1491295317.510595 1152.000000 
1491295317.576683 1152.000000 
1491295317.618740 1152.000000 
1491295317.660680 1152.000000 
1491295317.702690 1152.000000 
1491295317.750675 1152.000000 
1491295317.792699 1152.000000 
1491295317.834657 1152.000000 
1491295317.876809 1152.000000 
1491295317.930651 1152.000000 
1491295317.978669 1152.000000 
1491295318.020610 1152.000000 
1491295318.062650 1152.000000 
1491295318.104670 1152.000000 
1491295318.146597 1152.000000 
1491295318.194625 1152.000000 
1491295318.237207 1152.000000 
1491295318.278645 1152.000000 
1491295318.320653 1152.000000 
1491295318.375147 1152.000000 
1491295318.440618 1152.000000 
1491295318.506683 1152.000000 
1491295318.548593 1152.000000 
1491295318.590652 1152.000000 
1491295318.632634 1152.000000 
1491295318.680671 1152.000000 
1491295318.722637 1152.000000 
1491295318.764695 1152.000000 
1491295318.806690 1152.000000 
1491295318.866636 1152.000000 
1491295318.909285 1152.000000 
